zilo_l,zilo_c,eng,rus,pos,remove
χunt'a,хунт1а,boar.pl.obl,кабан.pl.obl,Noun,
zurdil,зурдил,saliva,слюна,Noun,
ts'ek'ir,ц1ек1ир,goat_kid,козленок,Noun,
tʃ'ora,ч1ора,heifer,телка,Noun,
anʒi,анжи,scar,шрам,Noun,
ɬomidoʃ,лъомидош,thief.m.obl,вор.m.obl,Noun,
hink'ːu,гьинк1к1у,mouse.pl.obl,мышь.pl.obl,Noun,
ɬants'i,лъанц1и,ant,муравей,Noun,
bestalada,бесталада,orphan(male).pl.obl,сирота(male).pl.obl,Noun,
qχuqχadir,хъухъадир,saw.pl.obl,пила.pl.obl,Noun,
q'inkom,къинком,bull-calf,бычок,Noun,
t'ent'a,т1ент1а,fly.pl.obl,муха.pl.obl,Noun,
muɬa,мулъа,fingernail.pl,ноготь.pl,Noun,
milkil,милкил,house.obl,дом.obl,Noun,
ɬalbot'i,лъалбот1и,barn_owl,сипуха,Noun,
rek'ul,рек1ул,lock.pl,замок.pl,Noun,
sol,сол,tooth.obl,зуб.obl,Noun,
bestalʃu,бесталшу,orphan(male).obl,сирота(male).obl,Noun,
tɬurtɬa,л1урл1а,oil,масло,Noun,
ribu,рибу,spring,весна,Noun,
roʃo,рошо,word.pl.obl,слово.pl.obl,Noun,
bots'o,боц1о,wolf.pl.obl,волк.pl.obl,Noun,
rok'o,рок1о,heart,сердце,Noun,
holi,гьоли,pea,горох,Noun,
k'oʃk'on,к1ошк1он,skein.pl.obl,моток_ниток.pl.obl,Noun,
noko,ноко,oath,клятва,Noun,
χːaɡi,ххаги,pot,кастрюля,Noun,
kun,кун,ram.pl.obl,баран.pl.obl,Noun,
anɬi,анлъи,ram.pl,баран.pl,Noun,
miʁul,мигъул,back.obl,спина.obl,Noun,
qχiru,хъиру,itch,чесотка,Noun,
tɬ'ertʃːin,кьерччин,lizard.pl,ящерица.pl,Noun,
antʃːu,анччу,shadow,тень,Noun,
buʁa,бугъа,bull.pl,бык.pl,Noun,
muhu,мугьу,bread.obl,хлеб.obl,Noun,
resi,реси,moth.pl.obl,моль.pl.obl,Noun,
tʃunk'a,чунк1а,foot.pl.obl,нога.pl.obl,Noun,
misidi,мисиди,gold,золото,Noun,
iχob,ихоб,mill.obl,мельница.obl,Noun,
za,за,fist,кулак,Noun,
inkʷa,инква,carriage,арба,Noun,
baɡin,багин,hole.pl.obl,дыра.pl.obl,Noun,
ʁalaj,гъалай,tin,олово,Noun,
mitʃ'ːi,мич1ч1и,nettle.pl.obl,крапива.pl.obl,Noun,
sajʁat,сайгъат,gift,подарок,Noun,
t'ana,т1ана,nit.pl.obl,гнида.pl.obl,Noun,
oχo,охо,eye_fluid.pl.obl,выделения_из_глаз.pl.obl,Noun,
kʷeɬir,квелъир,sleeve.pl.obl,рукав.pl.obl,Noun,
roʃon,рошон,rope.pl.obl,веревка.pl.obl,Noun,
ʁiʒi,гъижи,hill.pl,холм.pl,Noun,
joʃu,йошу,girl.obl,девочка.obl,Noun,
hamorχi,гьаморхи,donkey.pl,осел.pl,Noun,
zubu,зубу,day.pl.obl,день.pl.obl,Noun,
ts'ek'a,ц1ек1а,finger.pl.obl,палец.pl.obl,Noun,
tɬ'ank'ala,кьанк1ала,hare,заяц,Noun,
bura,бура,lamb,ягненок,Noun,
resi,реси,moth,моль,Noun,
samira,самира,Samira.obl,Самира.obl,Noun,
k'ʷerdi,к1верди,grass.pl,трава.pl,Noun,
hinusandʒadan,гьинусанджадан,insect,насекомое,Noun,
reʔa,реъа,paw.obl,лапа.obl,Noun,
q'unu,къуну,tombstone.pl,могильный_камень.pl,Noun,
ts'ːana,ц1ц1ана,thorn.pl.obl,колючка.pl.obl,Noun,
raʒi,ражи,garlic.pl,чеснок.pl,Noun,
ɬiru,лъиру,feather.pl.obl,перо.pl.obl,Noun,
pat'ina,пат1ина,Patimat,Патимат,Noun,
kun,кун,ram.obl,баран.obl,Noun,
uholɡu,угьолгу,person.pl,человек.pl,Noun,
tʃ'ːartil,ч1ч1артил,whip,хлыст,Noun,
torʔo,торъо,ball,мяч,Noun,
tʃ'onni,ч1онни,flea,блоха,Noun,
bil,бил,mountain.pl.obl,гора.pl.obl,Noun,
ts'ːuku,ц1ц1уку,hide.pl.obl,шкура.pl.obl,Noun,
wotsːi,воцци,brother.obl,брат.obl,Noun,
irsa,ирса,trough,корыто,Noun,
nots'ːi,ноц1ц1и,louse,вошь,Noun,
ts'ːikon,ц1ц1икон,corner.pl,угол.pl,Noun,
ʁobʁo,гъобгъо,partridge.pl,куропатка.pl,Noun,
q'aj,къай,dishes,посуда,Noun,
k'ːʷej,к1к1вей,smoke.pl.obl,дым.pl.obl,Noun,
hek'ʷa,гьек1ва,person.obl,человек.obl,Noun,
motʃ'i,моч1и,child,ребенок,Noun,
ts'ul,ц1ул,staff.pl,палка.pl,Noun,
kini,кини,cradle.pl,люлька.pl ,Noun,
miʒa,мижа,heel,пятка,Noun,
roʔol,роъол,clothes,одежда,Noun,
t'ana,т1ана,nit.pl,гнида.pl,Noun,
pirts'i,пирц1и,tar.pl,смола.pl,Noun,
hek'ʷa,гьек1ва,man.obl,мужчина.obl,Noun,
miʒa,мижа,heel.pl.obl,пятка.pl.obl,Noun,
k'ːunu,к1к1уну,kidney,почка,Noun,
ʃːek'i,щек1и,vein,жила,Noun,
laɡa,лага,body.pl,тело.pl,Noun,
ʁurʔɡi,гъуръги,blackcurrant,смородина,Noun,
tɬ'uri,кьури,cliff,скала,Noun,
nur,нур,light,свет,Noun,
tomil,томил,gums.pl,десна.pl,Noun,
hant'ik'a,гьант1ик1а,ear,ухо,Noun,
antʃːutɬ'i,анччукьи,shady_slope.pl,теневой_склон.pl,Noun,
miɬi,милъи,sun.pl,солнце.pl,Noun,
isib,исиб,side.obl,бок.obl,Noun,
mitʃ'ːi,мич1ч1и,nettle.pl,крапива.pl,Noun,
habu,гьабу,charcoal.obl,древесный_уголь.obl,Noun,
tʃaj,чай,tea,чай,Noun,
reʔa,реъа,paw.pl,лапа.pl,Noun,
hunts'ːi,гьунц1ц1и,honey,мед,Noun,
ʁʷarani,гъварани,camel,верблюд,Noun,
tɬartɬal,л1арл1ал,broom.pl.obl,метла.pl.obl,Noun,
ts'ek'ir,ц1ек1ир,goat_kid.obl,козленок.obl,Noun,
simiti,симити,cement,цемент,Noun,
sur,сур,sand.pl,песок.pl,Noun,
raʒi,ражи,garlic.pl.obl,чеснок.pl.obl,Noun,
qχaman,хъаман,boar,кабан,Noun,
joʃu,йошу,woman.pl,женщина.pl,Noun,
tʃ'ink'il,ч1инк1ил,island,остров,Noun,
tɬ'elili,кьелили,ashes.pl.obl,зола.pl.obl,Noun,
diwano,дивано,couch.obl,диван.obl,Noun,
ts'iq'u,ц1икъу,hoar_frost.pl.obl,иней.pl.obl,Noun,
etʃ'ːi,эч1ч1и,spleen.pl.obl,селезенка.pl.obl,Noun,
ĩntsːil,и2нццил,brook.pl,ручей.pl,Noun,
haq'u,гьакъу,room.pl,комната.pl,Noun,
intsːi,инцци,spring.pl,родник.pl,Noun,
nitʃo,ничо,scythe.pl,коса.pl,Noun,
ʕabdal,г1абдал,idiot,дурак,Noun,
k'epi,к1епи,jug,кувшин,Noun,
hiro,гьиро,fog,туман,Noun,
huma,гьума,post.obl,опорный_столб.obl,Noun,
odoruk'a,одорук1а,butterfly,бабочка,Noun,
ts'ːunno,ц1ц1унно,navel.pl,пупок.pl,Noun,
zurdil,зурдил,saliva.pl.obl,слюна.pl.obl,Noun,
woʃo,вошо,son.pl,сын.pl,Noun,
tʃ'omu,ч1ому,flint.obl,кремень.obl,Noun,
ts'ːana,ц1ц1ана,thorn.obl,колючка.obl,Noun,
tarha,таргьа,sack.pl,мешок.pl,Noun,
miχi,михи,sheep_wool,овечья_шерсть,Noun,
ħajman,х1айман,sheep.obl,овца.obl,Noun,
ts'iq'u,ц1икъу,hoar_frost,иней,Noun,
rebtsu,ребцу,plough,соха,Noun,
taj,тай,foal.pl,жеребенок.pl,Noun,
pera,пера,bee,пчела,Noun,
sim,сим,gall.pl,желчь.pl,Noun,
qχaba,хъаба,pitcher,кувшин,Noun,
tʃ'ureɡi,ч1уреги,wheel.obl,колесо.obl,Noun,
χur,хур,field,поле,Noun,
tort,торт,cake,торт,Noun,
itʃa,ича,mare.pl,кобыла.pl,Noun,
iχob,ихоб,mill,мельница,Noun,
miɡaʒu,мигажу,beard.pl,борода.pl,Noun,
beχirq'il,бехиркъил,seat,зад,Noun,
belimol,белимол,thrasher.pl,молотильня.pl,Noun,
kunt'a,кунт1а,male.pl,самец.pl,Noun,
ɬen,лъен,water,вода,Noun,
tupanɡi,тупанги,gun,ружье,Noun,
misiχʷara,мисихвара,spider,паук,Noun,
kaʁar,кагъар,paper,бумага,Noun,
taj,тай,foal.obl,жеребенок.obl,Noun,
jaraʁi,йарагъи,weapons,оружие,Noun,
parandʒa,паранджа,veil,вуаль,Noun,
intʃi,инчи,apple.pl,яблоко.pl,Noun,
inχi,инхи,river,река,Noun,
ħajman,х1айман,ewe,овца,Noun,
ũmuru,у2муру,life,жизнь,Noun,
anzi,анзи,snow.obl,снег.obl,Noun,
iɬo,илъо,cause,причина,Noun,
ɡirɡin,гиргин,roof_roller,каток_для_крыши,Noun,
kajzati,кайзати,newspaper,газета,Noun,
anzi,анзи,snow.pl,снег.pl,Noun,
tɬ'aw,кьав,rust,ржавчина,Noun,
q'orolaj,къоролай,widow,вдова,Noun,
buʁa,бугъа,bull,бык,Noun,
χuts'u,хуц1у,tongs.pl,щипцы_для_углей.pl,Noun,
polul,полул,foam.obl,пена.obl,Noun,
k'ontʃa,к1онча,onion,лук,Noun,
ɬːen,лълъен,water,вода,Noun,
tɬ'ibdir,кьибдир,dance,танец,Noun,
k'ubotɬi,к1убол1и,darkskinned_person,темнокожий,Noun,
koka,кока,womans_breast.pl.obl,женская_грудь.pl.obl,Noun,
purχul,пурхул,bellows,кузнечный_мех,Noun,
watɬ'uɬir,вакьулъир,armpit.pl,подмышка.pl,Noun,
q'urru,къурру,frog.pl.obl,лягушка.pl.obl,Noun,
ajʃati,айшати,Aishat,Айшат,Noun,
tɬ'e,кье,ashes,зола,Noun,
masχara,масхара,joke,шутка,Noun,
parχon,пархон,birdle.obl,уздечка.obl,Noun,
k'ork'on,к1орк1он,egg.pl.obl,яйцо.pl.obl,Noun,
q'inkom,къинком,bull-calf.pl.obl,бычок.pl.obl,Noun,
reka,река,belly,живот,Noun,
aqχi,ахъи,nidus,очаг,Noun,
iʃk'ol,ишк1ол,young_sheep,молодая_овца,Noun,
rekun,рекун,thread.pl.obl,нитка.pl.obl,Noun,
derʒik'a,держик1а,pumpkin,тыква,Noun,
qχaba,хъаба,pitcher.pl,кувшин.pl,Noun,
imatɬ'oru,имакьору,father_in_law,тесть/свекор,Noun,
qχota,хъота,hand_palm,ладонь,Noun,
daram,дарам,trade.obl,торговля.obl,Noun,
aqχu,ахъу,hip,бедро,Noun,
iwsa,ивса,raft,плот,Noun,
habu,гьабу,charcoal.pl.obl,древесный_уголь.pl.obl,Noun,
motɬ'i,мокьи,dream.pl,сон.pl,Noun,
ũʔetsu,у2ъэцу,hen.pl,курица.pl,Noun,
hitɬ'im,гьикьим,root,корень,Noun,
inkʷa,инква,wheelbarrow,тачка,Noun,
om,ом,roof.pl.obl,крыша.pl.obl,Noun,
korrespondent,корреспoндент,correspondent,корреспондент,Noun,
ts'ek'aɬol,ц1ек1алъол,ring,кольцо,Noun,
moʁortʃ'u,могъорч1у,tail.pl.obl,хвост.pl.obl,Noun,
inχi,инхи,river.pl,река.pl,Noun,
ɬarɬal,лъарлъал,rake.pl,грабли.pl,Noun,
ila,ила,mother.obl,мать.obl,Noun,
koʃːi,кощи,broth.obl,бульон.obl,Noun,
nidu,ниду,eyelash.pl,ресница.pl,Noun,
k'ol,к1ол,mouth.obl,рот.obl ,Noun,
bestal,бестал,orphan,сирота,Noun,
q'osel,къосел,demon,демон,Noun,
tʃelek,челек,bucket.obl,ведро.obl,Noun,
miq'i,микъи,road.pl.obl,дорога.pl.obl,Noun,
laɡa,лага,body.pl.obl,тело.pl.obl,Noun,
odoruk'a,одорук1а,butterfly.pl.obl,бабочка.pl.obl,Noun,
ʁanni,гъанни,crow,ворона,Noun,
q'ʷat'i,къват1и,street,улица,Noun,
qχizan,хъизан,family,семья,Noun,
hek'ʷa,гьекIва,person,человек,Noun,
moʔo,моъо,tear.pl,слеза.pl,Noun,
tʃarχi,чархи,whetstone.pl.obl,точило.pl.obl,Noun,
tʃajnik,чайник,kettle,чайник,Noun,
zaman,заман,time,время,Noun,
riʒi,рижи,muzzle.pl,морда.pl,Noun,
tʃ'ami,ч1ами,cheese.pl.obl,сыр.pl.obl,Noun,
reʃin,решин,year.pl.obl,год.pl.obl,Noun,
ʁʷamarsu,гъвамарсу,chest.pl,сундук.pl,Noun,
ensib,энсиб,eyebrow.obl,бровь.obl,Noun,
kːal,ккал,mildew,плесень,Noun,
inɡur,ингур,window.obl,окно.obl,Noun,
nasːil,нассил,shoes,обувь,Noun,
ɡʷadatʃa,гвадача,glove.pl,рукавица.pl,Noun,
rutɬ'o,рукьо,yoke.pl,ярмо.pl,Noun,
reʃin,решин,sky.pl,небо.pl,Noun,
dunal,дунал,world,мир,Noun,
k'ʷentɬ'a,к1венкьа,fork.obl,вилка.obl,Noun,
χʷami,хвами,fish.pl,рыба.pl,Noun,
tʃ'amtʃ'altɬi,ч1амч1алл1и,jaw.obl,челюсть.obl,Noun,
sori,сори,fox.pl,лиса.pl,Noun,
ts'ek'a,ц1ек1а,finger.obl,палец.obl,Noun,
hanʔo,гьанъо,sweat,пот,Noun,
intsirt'a,инцирт1а,mint.pl.obl,мята.pl.obl,Noun,
ima,има,father.obl,отец.obl,Noun,
t'ana,т1ана,nit,гнида,Noun,
ɬin,лъин,hair.pl,волос.pl,Noun,
t'uka,т1ука,goat.obl,козел.obl,Noun,
reχin,рехин,wedding,свадьба,Noun,
hartɬ'u,гьаркьу,braid.pl,женская_коса.pl,Noun,
bel,бел,metal_shovel.pl,metal_shovel.pl,Noun,
antʃːu,анччу,shadow.pl.obl,тень.pl.obl,Noun,
berka,берка,snake.pl.obl,змея.pl.obl,Noun,
reʔa,реъа,hand.obl,рука.obl,Noun,
q'en,къен,wall,стена,Noun,
q'urtʃi,къурчи,apricot.pl.obl,абрикос.pl.obl,Noun,
tʃ'ami,ч1ами,cheese.pl,сыр.pl,Noun,
ts'ːe,ц1ц1е,guest.m.obl,гость.m.obl,Noun,
kots'i,коц1и,besom.pl.obl,веник.pl.obl,Noun,
retʃ'ːo,реч1ч1о,cave.pl,пещера.pl,Noun,
kempet,кемпет,candy,конфета,Noun,
t'onk'il,т1онк1ил,drop.pl,капля.pl,Noun,
ts'ːĩja,ц1ц1и̃йа,goat,коза,Noun,
enʃːur,энщур,flour.pl,мука.pl,Noun,
sej,сей,bear,медведь,Noun,
inkʷa,инква,carriage.pl.obl,арба.pl.obl,Noun,
tʃarʁit'i,чаргъит1и,magpie.obl,сорока.obl,Noun,
purχul,пурхул,bellows.obl,кузнечный_мех.obl,Noun,
betɬ'i,бекьи,cattle_shed,хлев,Noun,
zubu,зубу,day,день,Noun,
tɬol,л1ол,gen.plᵢ,gen.plᵢ,Noun,
χʷami,хвами,fish.pl.obl,рыба.pl.obl,Noun,
ʁʷarzawu,гъварзаву,maul,кувалда,Noun,
rahal,рагьал,edge,край,Noun,
tʃ'ːe,ч1ч1е,ash_tree.obl,ясень.obl,Noun,
ustarɬidilɬi,устарлъидиллъи,carpenter,плотник,Noun,
hant'ik'a,гьант1ик1а,ear.pl.obl,ухо.pl.obl,Noun,
onʃːi,онщи,earth.obl,земля.obl,Noun,
χuts'u,хуц1у,tongs.obl,щипцы_для_углей.obl,Noun,
ila,ила,mother.pl,мать.pl,Noun,
ɡaza,газа,pick_axe.pl,кирка.pl,Noun,
o,о,broth.obl,бульон.obl,Noun,
sek'u,сек1у,cork.obl,пробка.obl,Noun,
rutɬ'o,рукьо,yoke.pl.obl,ярмо.pl.obl,Noun,
beχu,беху,birch,береза,Noun,
q'iri,къири,wheat,пшеница,Noun,
pera,пера,bee.obl,пчела.obl,Noun,
ʁiʒi,гъижи,hill,холм,Noun,
enʃːur,энщур,flour.pl.obl,мука.pl.obl,Noun,
miq'i,микъи,road.obl,дорога.obl,Noun,
ruq'ur,рукъур,disease,болезнь,Noun,
tusnaqχ,туснахъ,prison,тюрьма,Noun,
hink'ːur,гьинк1к1ур,urine,моча,Noun,
motʃ'i,моч1и,child.pl.obl,ребенок.pl.obl,Noun,
χent'i,хент1и,snivel,сопля,Noun,
ts'ːe,ц1ц1е,guest.obl,гость.obl,Noun,
hek'ʷa,гьек1ва,person.obl,человек.obl,Noun,
rotɬ'utʃul,рокьучул,belt,пояс,Noun,
beʃen,бешен,nest.pl.obl,гнездо.pl.obl,Noun,
ts'ul,ц1ул,staff.obl,палка.obl,Noun,
ʔʷen,ъвен,horn,рог,Noun,
ɡeʒi,гежи,bitch,сука,Noun,
inɡura,ингура,chudu(pastry).pl,чуду(выпечка).pl,Noun,
enʔi,энъи,dry_nasal_mucus.pl,козявка.pl,Noun,
rek'ul,рек1ул,lock.obl,замок.obl,Noun,
ʃːek'i,щек1и,penis,член,Noun,
hortʃ'ːi,гьорч1ч1и,female.pl.obl,самка.pl.obl,Noun,
ĩntsːi,и2нцци,brook,ручей,Noun,
sunk'a,сунк1а,lip,губа,Noun,
qχajlan,хъайлан,cigarette,сигарета,Noun,
ts'umur,ц1умур,fork,вилка,Noun,
tuken,тукен,shop,магазин,Noun,
ɡirɡin,гиргин,roof_roller.pl.obl,каток_для_крыши.pl.obl,Noun,
moskʷa,москва,moscow.obl,москва.obl,Noun,
χodij,ходий,fiancee.pl,невеста.pl,Noun,
ʃomʃol,шомшол,whistle,свисток,Noun,
ʃaq'i,шакъи,ink,чернила,Noun,
q'ali,къали,chimney_(oven),дымоход_(печки),Noun,
inχi,инхи,river.pl.obl,река.pl.obl,Noun,
ɡaza,газа,pick_axe,кирка,Noun,
inɡur,ингур,window.pl,окно.pl,Noun,
mat'u,мат1у,mirror.pl,зеркало.pl,Noun,
tɬ'utʃ'ːi,кьуч1ч1и,foundation.pl,фундамент.pl,Noun,
ɬarɬal,лъарлъал,rake,грабли,Noun,
ɡaro,гаро,collar,воротник,Noun,
ɡaɡa,гага,pit,косточка,Noun,
qχanʒar,хъанжар,dagger,кинжал,Noun,
bots'o,боц1о,wolf.pl,волк.pl,Noun,
patʃaluqχi,пачалухъи,government,государство,Noun,
k'ʷentɬ'a,к1венкьа,fork,вилка,Noun,
motʃi,мочи,wind,ветер,Noun,
q'ʷank'ʷa,къванк1ва,throat.pl.obl,горло.pl.obl,Noun,
ɬedir,лъедир,calf.obl,теленок.obl,Noun,
pol,пол,foam,пена,Noun,
purχul,пурхул,bellows.pl,кузнечный_мех.pl,Noun,
hark'u,гьарк1у,eye.pl,глаз.pl,Noun,
jal,ял,horse's_mane,грива_лошади,Noun,
iχob,ихоб,mill.pl,мельница.pl,Noun,
sunk'a,сунк1а,lip.pl,губа.pl,Noun,
ɬudi,лъуди,firewood.pl,полено.pl,Noun,
kuronʒi,куронжи,leech.obl,пиявка.obl,Noun,
rahal,рагьал,spike.pl.obl,острие.pl.obl,Noun,
iʃom,ишом,young_goat.obl,молодой_козел.obl,Noun,
tɬ'ertɬ'il,кьеркьил,saddle.pl,седло.pl,Noun,
ts'ːa,ц1ц1а,star,звезда,Noun,
bura,бура,lamb.pl,ягненок.pl,Noun,
karaki,караки,flat_bread,лепешка,Noun,
hamorχi,гьаморхи,donkey.pl.obl,осел.pl.obl,Noun,
ports'ːi,порц1ц1и,moon.pl,луна.pl,Noun,
kuronʒi,куронжи,leech.pl.obl,пиявка.pl.obl,Noun,
hartɬ'u,гьаркьу,braid.obl,женская_коса.obl,Noun,
bil,бил, mountain.obl,гора.obl,Noun,
ts'ek'aɬol,ц1ек1алъол,ring.pl.obl,кольцо.pl.obl,Noun,
bazar,базар,Sunday,воскресенье,Noun,
boʃi,боши,cub.pl.obl,детеныш.pl.obl,Noun,
ɬants'i,лъанц1и,ant.pl.obl,муравей.pl.obl,Noun,
χan,хан,king,король,Noun,
isib,исиб,side.pl,бок.pl,Noun,
sunk'a,сунк1а,lip.obl,губа.obl,Noun,
hir,гьир,copper,медь,Noun,
kurt'a,курт1а,hammer,молоток,Noun,
tʃunk'a,чунк1а,leg.obl,нога.obl,Noun,
beχumoʁul,бехумогъул,fat_tail.pl.obl,курдюк.pl.obl,Noun,
utʃitel,учител,teacher,учитель,Noun,
isir,исир,scissors.obl,ножницы.obl,Noun,
himʔal,гьимъал,briar.pl,шиповник.pl,Noun,
mahar,магьар,nose.obl,нос.obl,Noun,
hawa,гьава,weather,погода,Noun,
ʁaʒu,гъажу,arm.pl.obl,рука.pl.obl,Noun,
qχiru,хъиру,whetstone.pl.obl,точило.pl.obl,Noun,
oχi,охи,garden,сад,Noun,
intsːi,инцци,spring,родник,Noun,
mahar,магьар,nose,нос,Noun,
ɬotʃ'o,лъоч1о,voice,голос,Noun,
q'ali,къали,drum,барабан,Noun,
zubu,зубу,day.pl,день.pl,Noun,
tʃ'amtʃ'altɬi,ч1амч1алл1и,jaw.pl.obl,челюсть.pl.obl,Noun,
araq'i,аракъи,alcoholic_drink.pl.obl,спиртной_напиток.pl.obl,Noun,
reʃin,решин,sky.pl.obl,небо.pl.obl,Noun,
nusa,нуса,daughter_in_law.obl,невестка.obl,Noun,
retʃ'ːo,реч1ч1о,cave.pl.obl,пещера.pl.obl,Noun,
ʒawab,жаваб,answer,ответ,Noun,
kuronʒi,куронжи,leech.pl,пиявка.pl,Noun,
kːal,ккал,mildew.pl.obl,плесень.pl.obl,Noun,
huma,гьума,post,опорный_столб,Noun,
uʒruq'i,ужрукъи,hedgehog,еж,Noun,
jotsːi,йоцци,sister,сестра,Noun,
mahar,магьар,nose.pl.obl,нос.pl.obl,Noun,
qχota,хъота,hand_palm.pl,ладонь.pl,Noun,
tʃ'itʃ'i,ч1ич1и,grapes,виноград,Noun,
parχon,пархон,birdle,уздечка,Noun,
ʁuli,Гъули,Ruli,Гъули,Noun,
kʷeɬir,квелъир,sleeve.obl,рукав.obl,Noun,
rahal,рагьал,edge.pl.obl,край.pl.obl,Noun,
hark'u,гьарк1у,eye,глаз,Noun,
su,су,petroleum,нефть,Noun,
mok'o,мок1о,stool,табурет,Noun,
intsirt'a,инцирт1а,mint,мята,Noun,
qχal,хъал,skin,кожа,Noun,
dʒanaza,джаназа,corpse,труп,Noun,
kʷanorɬir,кванорлъир,light.pl.obl,свет.pl.obl,Noun,
patmati,патмати,Patimat.obl,Патимат.obl,Noun,
oχo,охо,pus.pl.obl,гной.pl.obl,Noun,
ɡuɡu,гугу,cuckoo.pl.obl,кукушка.pl.obl,Noun,
qχota,хъота,hand_palm.pl.obl,ладонь.pl.obl,Noun,
sol,сол,tooth.pl,зуб.pl,Noun,
ruq'il,рукъил,log.pl,бревно.pl,Noun,
χink'il,хинк1ил,knee.pl.obl,колено.pl.obl,Noun,
hits'itʃol,гьиц1ичол,swallow.obl,ласточка.obl,Noun,
toki,токи,electricity,электричество,Noun,
ħetʃ'ink'a,х1еч1инк1а,maize.obl,кукуруза.obl,Noun,
jatsʔaladul,йацъаладул,cousin(female).pl,двоюродная_сестра.pl,Noun,
ts'ːe,ц1ц1е,guest.pl.obl,гость.pl.obl,Noun,
anʒi,анжи,scar.pl,шрам.pl,Noun,
reʃa,реша,tree.obl,дерево.obl,Noun,
ilatɬ'oru,илакьору,mother_in_law.pl.obl,теща/свекровь.pl.obl,Noun,
tʃ'aʔa,ч1аъа,alcoholic_drink,алкогольный_напиток,Noun,
pampa,пампа,cotton,хлопок,Noun,
ts'ek'a,ц1ек1а,finger,палец,Noun,
ħetʃ'ink'a,х1еч1инк1а,maize.pl.obl,кукуруза.pl.obl,Noun,
tamakːo,тамакко,tobacco,табак,Noun,
ts'ipila,ц1ипила,kizyak.pl.obl,кизяк.pl.obl,Noun,
mark'atʃ'u,марк1ач1у,evening.pl,вечер.pl,Noun,
k'ork'on,к1орк1он,egg.obl,яйцо.obl,Noun,
tomil,томил,gums,десна,Noun,
ɬol,лъол,horseshoe.pl.obl,подкова.pl.obl,Noun,
ala,ала,lid.pl,крышка.pl,Noun,
bot'i,бот1и,blind.obl,слепой.obl,Noun,
ts'ek'a,ц1ек1а,thimble.pl.obl,наперсток.pl.obl,Noun,
rotɬ'utʃul,рокьучул,belt.pl,пояс.pl,Noun,
ts'a,ц1а,fire.pl,огонь.pl,Noun,
ʃːek'i,щек1и,penis.pl,член.pl,Noun,
rotɬ'i,рокьи,bone.pl.obl,кость.pl.obl,Noun,
tʃunk'a,чунк1а,foot,нога,Noun,
zar,зар,ice.pl,лед.pl,Noun,
tauχan,таухан,chimney_(fireplace),дымоход_(камина),Noun,
ts'ːikon,ц1ц1икон,elbow.obl,локоть.obl,Noun,
kaudo,каудо,gates,ворота,Noun,
ħajman,х1айман,sheep.pl.obl,овца.pl.obl,Noun,
χuts'u,хуц1у,tongs.pl.obl,щипцы_для_углей.pl.obl,Noun,
ʁats'a,гъац1а,grasshopper.obl,пшеница.obl,Noun,
misidi,мисиди,gold.pl.obl,золото.pl.obl,Noun,
aqχu,ахъу,hip.obl,бедро.obl,Noun,
qχolo,хъоло,faeces,кал,Noun,
ɬuts'i,лъуц1и,swamp,болото,Noun,
himʔal,гьимъал,briar,шиповник,Noun,
tɬut'i,л1ут1и,wedge.obl,клин.obl,Noun,
rihi,ригьи,age,возраст,Noun,
ʃːiwũ,щиву̃,milk,молоко,Noun,
hints'o,гьинц1о,stone.obl,камень.obl,Noun,
hank'o,гьанк1о,nail.pl,гвоздь,Noun,
kːub,ккуб,iron,железо,Noun,
tʃarχi,чархи,reel.pl.obl,катушка.pl.obl,Noun,
tʃarχi,чархи,whetstone,точило,Noun,
dan,дан,ewe,овцематка,Noun,
ɬarɬal,лъарлъал,rake.pl.obl,грабли.pl.obl,Noun,
ʁaduk'ollo,гъадук1олло,treetrunk.obl,пенек.obl,Noun,
huma,гьума,post.pl,опорный_столб.pl,Noun,
ɬol,лъол,horseshoe,подкова,Noun,
burtina,буртина,shepherd's_coat.obl,бурка.obl,Noun,
ʁiʒi,гъижи,hill.pl.obl,холм.pl.obl,Noun,
dan,дан,ewe.obl,овцематка.obl,Noun,
baha,багьа,price,цена,Noun,
k'ol,к1ол,beak.pl,клюв.pl,Noun,
reʔa,реъа,hand,рука,Noun,
k'otu,к1оту,horse,лошадь,Noun,
kepejk,кепейк,coin,монета,Noun,
tʃelek,челек,bucket.pl,ведро.pl,Noun,
t'onk'il,т1онк1ил,drop.pl.obl,капля.pl.obl,Noun,
zabiti,Забити,Zabit,Забит,Noun,
ħalt'i,х1алт1и,work,работа,Noun,
beʒun,бежун,needle.pl.obl,игла.pl.obl,Noun,
reʃa,реша,tree,дерево,Noun,
tɬ'utʃ'ːi,кьуч1ч1и,foundation,фундамент,Noun,
tɬartɬal,л1арл1ал,broom,метла,Noun,
berka,берка,snake,змея,Noun,
tʃ'ora,ч1ора,heifer.obl,телка.obl,Noun,
qχiru,хъиру,whetstone,точило,Noun,
toto,тото,spittle.obl,плевок.obl,Noun,
rahal,рагьал,spike,острие,Noun,
ʁʷarq'i,гъваркъи,raspberry,малина,Noun,
ports'ːi,порц1ц1и,moon.obl,луна.obl,Noun,
uʒruq'i,ужрукъи,hedgehog.obl,еж.obl,Noun,
hints'o,гьинц1о,stone,камень,Noun,
anɡa,анга,branch.pl,ветка.pl,Noun,
tʃ'ora,ч1ора,heifer.pl.obl,телка.pl.obl,Noun,
